session_id,recipe_id,recipe_name,user_id,user_name,test
4f08caaa-63ec-4d94-8a19-034d21555ea9,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,default_user,React Office,test
b0c6a2ee-e355-4a25-bf98-6f68cc714ae7,bM2PYm6kCCo6EmuPNQ11,Barley Mushroom Risotto,default_user,React Office,test
f95a4b93-48df-4487-8b97-3eebed69841a,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,any,React Office,test
057adb11-1576-42fe-9afc-d50c106ef1e2,oqAfLQMJ8z8hk9uikOlX,Cleaning  ,4WE4rWXhoNeNw9nGxUsr,Ryan,test
02b58870-a33a-4ccc-b5f3-4e77a141feab,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,any,React Office,test
4b67ae43-ad65-4e1e-806c-c61c8221ad4f,pgsUxpXnwQB62Wwy6MX4,Corn Chaat,any,React Office,test
e05c99a5-6458-4c1f-8241-c3064632dcab,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,any,React Office,test
1984d0ed-4d9d-4b2b-9dbe-d1a3e13b3ad9,HoGCa0fE2D2aooUc41eR,Pav Bhaji ,aPHoNqeBftQvRIKB9xkw,Sagar,test
d4553b3e-c3b3-4c02-89da-1fc83084a178,t3XL1Sh78l2YRaQDQCjW,Aloo Matar,any,React Office,test
fe8d8408-ed6b-420c-b740-5a612de253e2,B7TbMEmcb8coASIl2jA4,Chilli Garlic Noodles,any,React Office,test
80447e08-5be2-4130-a2ae-bef593b57950,xl8y6iJ9SvUWAetLtOjn,Chicken Noodle Soup,any,React Office,test
fb5b5e14-e4ce-4f09-89d0-a61c7539e3db,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,default_user,React Office,test
b826898a-5483-4b76-aaea-04be76c6c3d9,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,any,React Office,test
4f6ee4d5-179f-4eb4-83c1-3d4d99d9a46f,wPN04jSLhlyC0L6HLLG2,Suji Halwa,default_user,React Office,test
46c6bc2a-f6e1-4761-a869-cc5c3cfad0c5,GlsXtHjpzwwUn4dYkoYz,Chapati Dough- Vivek's Version,any,React Office,test
41488335-5866-4913-8e95-a35cb62409e3,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,default_user,React Office,test
850122e1-312f-45d3-819b-a0a461128721,v1ukDmkQXQQzmfjnribC,Pudina Palak Khichdi,w5kxVQaStO95bPRYzmVU,Puneet,test
4138353b-ca9d-4352-a525-2d671d4fd4a6,peUPhE9NX4j0GT2TigJU,White Sauce Pasta - Parallel ,aPHoNqeBftQvRIKB9xkw,Sagar,test
3be8a764-4e56-4142-9120-bbad3a7ee748,GlsXtHjpzwwUn4dYkoYz,Chapati Dough- Vivek's Version,default_user,React Office,test
3984a4cd-7769-440a-864c-3a88299ea5e7,M7UWiRrF4FPnZhJ3cBVz,Beetroot Pasta,default_user,React Office,test
bbdeb88f-50d2-4d73-aeab-64555d683bde,t3XL1Sh78l2YRaQDQCjW,Aloo Matar,default_user,React Office,test
53f99a58-c128-4633-8407-cc6dd8d8f0e5,Ljd2Z3G3sV5d0sL866GY,Oriental Stir Fry - Your 1st Recipe,n8LvyHwPdnQBjXjyvgLT,Lilit,test
750473dc-34fd-4f1e-a563-c2a3992ddf1b,25WixmrOMbb8lP6R3kJQ,Veg Keema,any,React Office,test
bd143a4f-a1ec-481f-9694-a4d79fe207c2,fRMHOmMHmxw8C1NmUlfr,Paneer Bhurji,default_user,React Office,test
8e1fa01c-3728-4d86-b5e8-4322c4ae9ea3,0twVEtLXNufk11kDaOwD,Paneer Stir Fry,default_user,React Office,test
887144c4-9c1e-427e-b0ab-4f3b110bf57a,pgsUxpXnwQB62Wwy6MX4,Corn Chaat,any,React Office,test
28f38d0b-9f9a-438e-9d29-c90d752519ba,oqAfLQMJ8z8hk9uikOlX,Cleaning  ,TR3myjFI8khyrShroxyh,Ishan,test
fd0ab2b2-69c4-4614-a285-d74b496c3ae5,whhOCNXPJBgSFvXxRNin,Paneer Biryani,default_user,React Office,test
e2119675-8652-4dc5-8a30-ea8d6377408f,Fa4WniMC5uLnapeECQxK,White Sauce Pasta,default_user,React Office,test
ced9b8f3-cc4f-49d7-b92f-ff246c120eb2,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,default_user,React Office,test
f76a9c39-2432-4d1a-98c2-21ce38a28f3b,I07MthiwQftoq2HjCL5F,Coastal Fish Curry,default_user,React Office,test
45349f4a-269e-4f05-8be2-9f369cc33860,eghpHrdAFUOTYu76QGzs,Hariyali Chicken,default_user,React Office,test
adfbb56a-8000-48ce-8b22-40836439068b,pgsUxpXnwQB62Wwy6MX4,Corn Chaat,any,React Office,test
a4ba2eae-a3ea-4507-8039-6b7375f26139,a1ffeb40-10b5-4ccd-b59f-ab36fc715906,Bangalore Style Sambar,any,React Office,test
ca2b5f1e-7296-4e1e-85aa-49d4d9454266,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,default_user,React Office,test
d80964a3-7c60-45ad-a93a-7eacb58c9436,wHLdoYO6cECG1f9dUID5,Chocolate Banana Smoothie Bowl,w5kxVQaStO95bPRYzmVU,Puneet,test
59cae43f-0845-41ec-ad92-3d93ab2db394,AJIVB8lfcE7itl0aoA0n,Zesty Crunch Quinoa,4KP8avFux2fBGGfQdr0D,Arvind,test
c33bc588-0e7d-4a27-b93f-7fdecc72b1fa,B7TbMEmcb8coASIl2jA4,Chilli Garlic Noodles,any,React Office,test
d49b3894-0cac-4124-b269-723143a1d653,t3XL1Sh78l2YRaQDQCjW,Aloo Matar,any,React Office,test
83c47483-301b-431d-83c5-34dbc31ffa31,oqAfLQMJ8z8hk9uikOlX,Cleaning  ,default_user,React Office,test
9982636d-f03e-4180-8fc4-c6bfa0be16c4,I07MthiwQftoq2HjCL5F,Coastal Fish Curry,default_user,React Office,test
5d8907e7-48da-4ee5-8b78-a0cfa65a3952,qDtvJXGNdBs9uHAfxsHT,Aloo Tamatar Sabzi,default_user,React Office,test
a5943292-1c14-46cf-9452-fbd1e1029221,pgsUxpXnwQB62Wwy6MX4,Corn Chaat,bsk7DKidBsH7JxxdlXOh,Arpit M,test
20c8088c-6c46-47f2-832d-ecf4328620e8,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,any,React Office,test
5c6023bd-4368-4a72-8618-e897d584df0e,BaQfqtfwOuY0FcuTIGWA,Chicken Adobo,any,React Office,test
5173fe76-d58b-4c83-8749-49850a415c1e,ae597616-d969-4f2f-9f2f-cf614938dba5,Cucumber Mayo Sandwich Filling,default_user,React Office,test
cc61b8cb-a447-431f-a7a1-37902f524c22,bM2PYm6kCCo6EmuPNQ11,Barley Mushroom Risotto,default_user,React Office,test
033034c1-3115-4d31-8f9f-c7a81c802664,qDtvJXGNdBs9uHAfxsHT,Aloo Tamatar Sabzi,novrjTyGNIK6sr4T9hxp,Ananth Prabhu,test
6030b46f-993e-4fe6-988a-de78ca79587a,whhOCNXPJBgSFvXxRNin,Paneer Biryani,default_user,React Office,test
5d73f4b4-25f0-4ad4-8d8f-59f17e008f9b,MiM23ao6WAwzMxBqLuAK,Jeera Rice,n8LvyHwPdnQBjXjyvgLT,Lilit,test
98625fcc-ab48-441d-bbc4-5fedf6d023b9,t3XL1Sh78l2YRaQDQCjW,Aloo Matar,default_user,React Office,test
693a6cc7-2818-418d-9f98-c44c49656084,TAqW7WS1hG3gekycvENH,Tofu Masala,any,React Office,test
c5a5d363-6a53-4cc3-abdc-87097f23d2b3,t3XL1Sh78l2YRaQDQCjW,Aloo Matar,any,React Office,test
c94861f1-2e03-43e8-bf01-0dd6cbc0f7be,7bmUxSgrWVcW0nnOCiEe,Steamed White Rice,default_user,React Office,test
fa652722-0e5b-4875-9c07-839481b204eb,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,any,React Office,test
d595acfa-4b30-4201-b57d-75dddfe4b851,asFLmheZJYWmfXqvnKo3,Quinoa Buddha Bowl,any,React Office,test
a72acee1-2ced-4ebd-931b-acd0df97fa98,3GPGIgzCUhFzMFxvBIy8,Amaranth Coconut Soup ,any,React Office,test
5720272d-1890-4723-93e1-f5aa452cc7fe,Xj3dRz5W3rtVkvIDSJuA,Chicken Keema,lhw9qFnmpPaBEmCHkqZJ,Relina,test
17f62a69-98dd-496f-8b0b-bceece6bdecb,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,default_user,React Office,test
