Recipe_ID,Recipe_Name
kqDJ3MR3gSQuHCSEHuYn,Jeera Rice-Alternate
mZRwULml2mpOB4ELv9UQ,Vermicelli Upma
mkYbuuvDpKAU0gb7dKRz,Filter Coffee
mlJQ843gpIwijVtmeG5v,Steamed Brown Rice
mbfsBgVh8YGARMpZ4IDh,Summer Pasta Salad 
mTWFVnGTGwGTohXxOL9B,Oriental Stir Fry
n0GvvoMuECmVXcqXafvg,Zesty Quinoa Salad - 1 Person
pBdgFHSXdIZro4w5kvS4,Chicken Keema- Vivek's version
peUPhE9NX4j0GT2TigJU,White Sauce Pasta - Parallel 
qDtvJXGNdBs9uHAfxsHT,Aloo Tamatar Sabzi
pR9pO3TNRr4K7LZ6ndgy,Boiled Eggs
r6YEe0ixhcV51JclfnPx,Masala Papad Taco
oQq2hb8NAUlQqYmQwRyt,Shubh's Trial
puCxICtJAls9bS2gohRw,Old Barley Mushroom Risotto
vq7VXjpIdxSXuDjA54cd,Simple Pasta Salad
w1uMs2SoCAqQyJ7TL799,Kaju Paneer
wPN04jSLhlyC0L6HLLG2,Suji Halwa
v1ukDmkQXQQzmfjnribC,Pudina Palak Khichdi
sXmnR3IAxj23vAnLSvcS,Thai Curry (Veg)
I2McUbTixQkiiPZBBy1P,Methi Matar Malai
3GPGIgzCUhFzMFxvBIy8,Amaranth Coconut Soup 
t3XL1Sh78l2YRaQDQCjW,Aloo Matar
t53vIyl4KY2xn7meB9I1,Chicken Biryani 
suDZAr4TiY0pfxOB0Bwp,Chunky Mushroom Soup
xl8y6iJ9SvUWAetLtOjn,Chicken Noodle Soup
whhOCNXPJBgSFvXxRNin,Paneer Biryani
exwddccEmci703ObfWIq,New Recipe
65fed29c-0ff9-4378-a51c-6d360d05a8af,Murg Curry
wHLdoYO6cECG1f9dUID5,Chocolate Banana Smoothie Bowl
ebbe8b4c-7ad7-4a78-966b-6dcf019b5562,Butter Chicken
Xj3dRz5W3rtVkvIDSJuA,Chicken Keema
c3b33aaa-acc2-4011-9f5b-f4395b6e3dd2,Peanut Butter Banana Smoothie
095f729c-ba01-4330-ac04-b10295f878a3,Cranberry Paneer
Wb8GhBEyYXocMwRSXEjm,New Recipe
42kfAHreizjCc7yYTnJb,New Recipe
a1ffeb40-10b5-4ccd-b59f-ab36fc715906,Bangalore Style Sambar
8m200aHysTmoqhMWU21X,Filter Coffee Copy
e4cf75f8-99a3-4c31-8b0f-22fc0aad4b49,Bruschetta Filling
UwRjuFftXhlikd4nWHcA,New Recipe
BaQfqtfwOuY0FcuTIGWA,Chicken Adobo
0REKJS9AJ5GJAKvKZxLB,Chicken Stroganoff
3V6mDsjhSo1AVcyktk26,Mojito
00f936a1-e9ad-47d7-8d0e-700c93badc6b,Chicken Tagine
5061aa9f-ce6f-4ebd-b315-6b62cd20c3bc,Chicken Thai Curry Experience
ae597616-d969-4f2f-9f2f-cf614938dba5,Cucumber Mayo Sandwich Filling
13e54fb2-10b0-4cf3-9cd8-c863b12c9ca0,Bhel 
76b8d38e-7058-466f-a149-5926c7c2be33,Poha E3
tCEVvjpbrEIa3NY8o71O,Kung Pao Chicken
542ae57b-fe60-4150-8bc3-bfdf987a5ef7,Chicken Adobo- Recipe Experience
e72004a6-f3ef-42da-aa60-e73156998317, Chilli Garlic Noodles 🍜
a139215e-2dad-45e6-92fc-3b10564ead44,Aloo Capsicum Copy - vivek
9b583442-5dd9-4868-9470-0d1c2ac67df0,Beet Halwa
oqAfLQMJ8z8hk9uikOlX,Cleaning  
bM2PYm6kCCo6EmuPNQ11,Barley Mushroom Risotto
pgsUxpXnwQB62Wwy6MX4,Street Style Butter Corn
9bec7209-e5e7-47de-b04b-54a1d07fb6dc,Chilli Garlic Noodles E3 - History Copy
9q82CdqBz3MRn9H62gJd,Bread Poha with Sausages
fb77bb12-b47b-416b-ab0c-0c6a02671357,Cranberry Chicken
f23f2b58-7390-4d09-8850-05cb20255586,Prawn Stir Fry
10TJbXOLcoFeuerTPf9f,R1 Coffee Experience
63b6d34f-a699-4ee9-b60d-7210fea12824,Chilli Garlic Noodles E3 - with parallel prep
a4d5540e-85a6-4fb9-a940-629cd7bf7130,Oriental Stir Fry - videos 2
4d299160-29b3-4a48-9176-6e9604fa1ede,Aloo Capsicum Copy
96cc73f1-fcf8-498e-8d52-67688d0559ad,Chilli Garlic Noodles E3 - everything Copy
a362f584-ec50-4126-8a9d-d0003cc9e22d,7 Layers of Heaven
e093835d-b765-4b8c-b8cd-12b0de32334c,Burmese Lettuce Salad
rS2FFVdj9y84u0kVyoAt,Chicken Tariwala
1YPFidvgvdRi0b1M6DQj,Cauliflower Rice
e5aa4d18-9772-4c96-8d99-906fc92a8305,Jambalaya
a8674885-8595-4b7a-9347-d1842b774009,Not Red Sauce Pasta  Copy
de3c1776-590c-4290-ab18-1c90b2ff1fbf,Chilli Garlic Noodles E3 - related info sequential
3q2el26su34nKhHmsw2N,Vermicelli Payasa
bd1ab9cd-86f3-46bc-9b6a-f02e57b8f4e6,Bhel  Copy
emQwTzjWOUPuMLU484dJ,Masala Oats
1e6338ff-b222-4ee8-ba15-77a90555d724,Pink Sauce Pasta - E3
2a9d96bf-ea01-497b-884f-8e46e0c5218e,Not Red Sauce Pasta 
lqt04ybVZOYfL0FzZMnk,Mushroom Risotto
a06a438e-4f9c-4236-85f8-b3f0de7568e1,Chilli Garlic Noodles E3 - React kitchen trivia
78a32899-c366-41f5-aca9-616507dccdf4,Masala Mushroom-Vivek's Version Copy
k78fRy4ZAMdyPLZfDI86,Bread Paneer Poha
1d85401a-dbeb-4cd6-8d17-7bd483971b94,Tangy Paneer 🍅
yKzgDhjrdpKLL2wPRPQF,Zec's Dinner
yzgXvub7EgQKBGPHajsN,Daliya Firecracker Salad- 1 Person
s8TnpgM3U4GnoGwVYnFp,Mango Pineapple Smoothie
e87e3b63-cf29-4552-a90b-c8ee92a1f451,Masala Mushroom E3
y7oHsG0OCoNjA2RO56Qh,Hulk Ramen
Oj3K8k0fnAdubawHx3ZG,Red Sauce Pasta
za0JiftvqtKRJviwx8xT,Pulao
7bmUxSgrWVcW0nnOCiEe,Steamed White Rice
ya5ODTwRu1g2QnT2csyC,Quinoa Apple Salad  - Swathi's version
yjMYJ9KhMNeVaSkFiRKJ,Beetroot Pasta-old
zcY3JfAEoLVGQKGZWNX4,Chicken Keema- Scale up and down
drivehardware,Manual Mode
